participant,condition,order,gender,bc_count_t0,bc_freq_t0,bc_count_vocal_t0,bc_count_nod_t0,bc_ratio_t0,bc_freqs_per_min_t0,bc_avg_fpm_t0,bc_std_fpm_t0,bc_max_fpm_t0,bc_min_fpm_t0,bc_freqs_per_min_vocal_t0,bc_freqs_per_min_nod_t0,bc_freqs_per_min_both_t0,bc_count_t1,bc_freq_t1,bc_count_vocal_t1,bc_count_nod_t1,bc_ratio_t1,bc_freqs_per_min_t1,bc_avg_fpm_t1,bc_std_fpm_t1,bc_max_fpm_t1,bc_min_fpm_t1,bc_freqs_per_min_vocal_t1,bc_freqs_per_min_nod_t1,bc_freqs_per_min_both_t1,bc_count_all,bc_freq_all,bc_count_vocal_all,bc_count_nod_all,bc_ratio_all,bc_freqs_per_min_all,bc_freqs_per_min_vocal_all,bc_freqs_per_min_nod_all,bc_freqs_per_min_both_all,bc_avg_fpm_all,bc_std_fpm_all,bc_max_fpm_all,bc_min_fpm_all,what_action_counts,talk_ratio,ta_impact,listening_behavior,closeness,competence,warmth,discomfort
4,naive,1,Male,27,3.913043478260869,14,13,1.0769230769230769,"[1, 1, 1, 4, 6, 6, 6, 3, 1, 2, 4, 8, 11, 12, 10, 6, 3, 0, 2, 2, 3, 4, 3, 3]",4.25,3.217789096051304,12,0,"[1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 3, 6, 7, 8, 6, 3, 2, 0, 0, 0, 1, 2, 2, 2]","[0, 0, 0, 3, 4, 5, 5, 2, 1, 1, 1, 2, 4, 4, 4, 3, 1, 0, 2, 2, 2, 2, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",31,4.428571428571429,20,11,1.818181818181818,"[5, 5, 4, 4, 2, 1, 6, 6, 6, 8, 5, 5, 6, 4, 2, 3, 4, 4, 5, 5, 3, 3, 5, 4]",4.375,1.522402158870426,8,1,"[2, 3, 3, 3, 2, 1, 5, 4, 4, 5, 3, 4, 4, 3, 1, 2, 3, 3, 3, 2, 1, 1, 3, 3]","[3, 2, 1, 1, 0, 0, 1, 2, 2, 3, 2, 1, 2, 1, 1, 1, 1, 1, 2, 3, 2, 2, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",58,4.172661870503597,34,24,2.895104895104895,"[1, 1, 1, 4, 6, 6, 6, 3, 1, 2, 4, 8, 11, 12, 10, 6, 3, 0, 2, 2, 3, 4, 3, 3, 5, 5, 4, 4, 2, 1, 6, 6, 6, 8, 5, 5, 6, 4, 2, 3, 4, 4, 5, 5, 3, 3, 5, 4]","[1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 3, 6, 7, 8, 6, 3, 2, 0, 0, 0, 1, 2, 2, 2, 2, 3, 3, 3, 2, 1, 5, 4, 4, 5, 3, 4, 4, 3, 1, 2, 3, 3, 3, 2, 1, 1, 3, 3]","[0, 0, 0, 3, 4, 5, 5, 2, 1, 1, 1, 2, 4, 4, 4, 3, 1, 0, 2, 2, 2, 2, 1, 1, 3, 2, 1, 1, 0, 0, 1, 2, 2, 3, 2, 1, 2, 1, 1, 1, 1, 1, 2, 3, 2, 2, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.3125,2.517904634810461,12,0,[],1.3154205009617166,3.2,2.75,2.333333333333333,4.333333333333333,4.666666666666667,2.833333333333333
5,naive,1,Male,30,4.285714285714286,20,10,2.0,"[5, 5, 6, 7, 7, 6, 6, 8, 8, 8, 7, 5, 5, 3, 2, 2, 3, 3, 4, 4, 2, 2, 1, 0]",4.541666666666667,2.309025167082902,8,0,"[4, 3, 4, 5, 5, 5, 4, 6, 5, 5, 5, 2, 3, 2, 1, 1, 2, 2, 3, 3, 1, 1, 0, 0]","[1, 2, 2, 2, 2, 1, 2, 2, 3, 3, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",36,5.142857142857143,21,15,1.4,"[3, 2, 1, 2, 4, 6, 8, 8, 6, 6, 6, 4, 6, 8, 6, 6, 4, 2, 5, 6, 9, 9, 8, 7]",5.5,2.273030282830976,9,1,"[2, 2, 1, 2, 4, 5, 6, 5, 3, 4, 4, 3, 5, 4, 3, 3, 1, 1, 2, 2, 4, 4, 4, 4]","[1, 0, 0, 0, 0, 1, 2, 3, 3, 2, 2, 1, 1, 4, 3, 3, 3, 1, 3, 4, 5, 5, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",66,4.714285714285714,41,25,3.4,"[5, 5, 6, 7, 7, 6, 6, 8, 8, 8, 7, 5, 5, 3, 2, 2, 3, 3, 4, 4, 2, 2, 1, 0, 3, 2, 1, 2, 4, 6, 8, 8, 6, 6, 6, 4, 6, 8, 6, 6, 4, 2, 5, 6, 9, 9, 8, 7]","[4, 3, 4, 5, 5, 5, 4, 6, 5, 5, 5, 2, 3, 2, 1, 1, 2, 2, 3, 3, 1, 1, 0, 0, 2, 2, 1, 2, 4, 5, 6, 5, 3, 4, 4, 3, 5, 4, 3, 3, 1, 1, 2, 2, 4, 4, 4, 4]","[1, 2, 2, 2, 2, 1, 2, 2, 3, 3, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 2, 3, 3, 2, 2, 1, 1, 4, 3, 3, 3, 1, 3, 4, 5, 5, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.020833333333333,2.3406692715736006,9,0,[],1.581145551689116,2.2,2.75,2.6666666666666665,1.8333333333333333,2.1666666666666665,1.0
8,naive,1,Male,18,4.014869888475836,10,8,1.25,"[5, 5, 5, 5, 2, 1, 0, 0, 2, 3, 5, 6, 5, 6]",3.571428571428572,2.0946968998021687,6,0,"[3, 3, 4, 4, 1, 1, 0, 0, 1, 1, 2, 3, 2, 4]","[2, 2, 1, 1, 1, 0, 0, 0, 1, 2, 3, 3, 3, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",34,4.868735083532219,13,21,0.6190476190476191,"[6, 2, 2, 2, 1, 3, 3, 4, 4, 2, 2, 2, 3, 4, 5, 6, 8, 9, 9, 9, 7, 6, 6, 6]",4.625,2.4801293649055216,9,1,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 3, 4, 4, 3, 4, 3, 4, 5, 3]","[4, 2, 2, 2, 1, 3, 3, 4, 4, 2, 2, 1, 2, 3, 2, 3, 4, 5, 6, 5, 4, 2, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",52,4.534883720930233,23,29,1.869047619047619,"[5, 5, 5, 5, 2, 1, 0, 0, 2, 3, 5, 6, 5, 6, 6, 2, 2, 2, 1, 3, 3, 4, 4, 2, 2, 2, 3, 4, 5, 6, 8, 9, 9, 9, 7, 6, 6, 6]","[3, 3, 4, 4, 1, 1, 0, 0, 1, 1, 2, 3, 2, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 3, 4, 4, 3, 4, 3, 4, 5, 3]","[2, 2, 1, 1, 1, 0, 0, 0, 1, 2, 3, 3, 3, 2, 4, 2, 2, 2, 1, 3, 3, 4, 4, 2, 2, 1, 2, 3, 2, 3, 4, 5, 6, 5, 4, 2, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.2368421052631575,2.399936518089328,9,0,[],3.946392430835156,5.0,2.0,2.0,2.1666666666666665,1.3333333333333333,5.166666666666667
9,naive,1,Female,16,2.324455205811138,8,8,1.0,"[5, 5, 6, 5, 3, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 1, 1]",2.4166666666666665,1.440968038815882,6,1,"[3, 2, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 0, 0]","[2, 3, 5, 4, 3, 2, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",13,1.8571428571428568,3,10,0.3,"[2, 1, 1, 0, 0, 1, 1, 2, 2, 3, 4, 5, 7, 6, 5, 3, 1, 0, 0, 0, 0, 0, 1, 1]",1.9166666666666667,2.0395397084200693,7,0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 5, 4, 4, 2, 1, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,2.0888355342136857,11,18,1.3,"[5, 5, 6, 5, 3, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 1, 1, 2, 1, 1, 0, 0, 1, 1, 2, 2, 3, 4, 5, 7, 6, 5, 3, 1, 0, 0, 0, 0, 0, 1, 1]","[3, 2, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 4, 3, 2, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 5, 4, 4, 2, 1, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.1666666666666665,1.783411213252725,7,0,[],2.601314164580021,2.6,1.75,2.5,5.166666666666667,4.333333333333333,3.5
10,naive,1,Female,15,2.15311004784689,9,6,1.5,"[2, 3, 5, 6, 7, 5, 3, 1, 0, 0, 0, 0, 0, 2, 2, 3, 4, 3, 4, 3, 2, 1, 0, 0]",2.333333333333333,2.034425935955617,7,0,"[1, 2, 3, 5, 5, 3, 2, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 1, 1, 0, 0, 0]","[1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 2, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,2.324455205811138,5,11,0.4545454545454545,"[1, 2, 2, 3, 5, 4, 5, 5, 4, 5, 4, 4, 4, 3, 3, 3, 2, 1, 1, 0, 0, 0, 0, 0]",2.5416666666666665,1.7790251700174329,5,0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 2, 2, 2, 4, 3, 4, 4, 3, 3, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",31,2.2382671480144407,14,17,1.9545454545454544,"[2, 3, 5, 6, 7, 5, 3, 1, 0, 0, 0, 0, 0, 2, 2, 3, 4, 3, 4, 3, 2, 1, 0, 0, 1, 2, 2, 3, 5, 4, 5, 5, 4, 5, 4, 4, 4, 3, 3, 3, 2, 1, 1, 0, 0, 0, 0, 0]","[1, 2, 3, 5, 5, 3, 2, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 1, 2, 2, 2, 4, 3, 4, 4, 3, 3, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.4375,1.913833957444236,7,0,[],1.4477524274954532,2.6,3.5,2.833333333333333,5.833333333333333,6.0,2.5
11,naive,1,Female,8,2.016806722689076,4,4,1.0,"[2, 2, 3, 3, 4, 3, 3, 4, 2, 2, 1, 0]",2.4166666666666665,1.114924013354971,4,0,"[1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 0, 0]","[1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",13,1.8571428571428568,4,9,0.4444444444444444,"[3, 3, 3, 4, 4, 4, 5, 3, 2, 1, 0, 1, 3, 3, 4, 3, 1, 1, 0, 0, 0, 0, 0, 0]",2.0,1.632993161855452,5,0,"[1, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 1, 1, 2, 2, 3, 4, 3, 2, 1, 0, 1, 2, 2, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21,1.9148936170212765,8,13,1.4444444444444444,"[2, 2, 3, 3, 4, 3, 3, 4, 2, 2, 1, 0, 3, 3, 3, 4, 4, 4, 5, 3, 2, 1, 0, 1, 3, 3, 4, 3, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 0, 0, 1, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 1, 0, 2, 1, 1, 2, 2, 3, 4, 3, 2, 1, 0, 1, 2, 2, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.138888888888889,1.493556117641118,5,0,[],0.9311371452737384,1.4,3.0,2.0,4.0,1.6666666666666667,1.0
12,naive,1,Male,8,1.4328358208955223,5,3,1.6666666666666667,"[2, 1, 0, 0, 0, 0, 1, 1, 3, 3, 2, 2, 0, 1, 2, 3, 3, 2, 1]",1.4210526315789471,1.0913916501751433,3,0,"[2, 1, 0, 0, 0, 0, 1, 1, 2, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 2, 2, 2, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,1.0344827586206895,2,5,0.4,"[1, 0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 2, 1, 1, 0, 0, 1, 2, 2, 2, 1, 0, 0, 0]",1.0416666666666667,1.0598414451647422,3,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 1, 2, 2, 2, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",15,1.2145748987854252,7,8,2.066666666666667,"[2, 1, 0, 0, 0, 0, 1, 1, 3, 3, 2, 2, 0, 1, 2, 3, 3, 2, 1, 1, 0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 2, 1, 1, 0, 0, 1, 2, 2, 2, 1, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 1, 1, 2, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 2, 2, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 2, 1, 1, 0, 0, 0, 0, 1, 2, 2, 2, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.2093023255813953,1.090298434393585,3,0,[],0.534558974150539,3.6,3.0,3.333333333333333,4.333333333333333,6.833333333333333,1.1666666666666667
13,naive,0,Male,35,5.0,14,21,0.6666666666666666,"[4, 7, 6, 9, 12, 9, 10, 7, 6, 5, 4, 2, 2, 2, 4, 4, 2, 4, 4, 4, 4, 5, 3, 4]",5.125,2.6190408549696205,12,2,"[2, 3, 3, 4, 4, 4, 5, 2, 3, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 3, 2, 3]","[2, 4, 3, 5, 8, 5, 5, 5, 3, 3, 3, 1, 2, 2, 3, 3, 1, 3, 3, 3, 3, 2, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",33,5.142857142857142,18,15,1.2,"[7, 7, 6, 2, 2, 2, 4, 7, 7, 8, 7, 6, 8, 8, 9, 7, 5, 4, 2, 4, 4, 3]",5.409090909090909,2.2291272427707685,9,2,"[4, 4, 3, 2, 2, 1, 3, 5, 4, 4, 3, 3, 3, 3, 4, 2, 3, 3, 1, 2, 2, 2]","[3, 3, 3, 0, 0, 1, 1, 2, 3, 4, 4, 3, 5, 5, 5, 5, 2, 1, 1, 2, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",68,5.068322981366459,32,36,1.8666666666666667,"[4, 7, 6, 9, 12, 9, 10, 7, 6, 5, 4, 2, 2, 2, 4, 4, 2, 4, 4, 4, 4, 5, 3, 4, 7, 7, 6, 2, 2, 2, 4, 7, 7, 8, 7, 6, 8, 8, 9, 7, 5, 4, 2, 4, 4, 3]","[2, 3, 3, 4, 4, 4, 5, 2, 3, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 3, 2, 3, 4, 4, 3, 2, 2, 1, 3, 5, 4, 4, 3, 3, 3, 3, 4, 2, 3, 3, 1, 2, 2, 2]","[2, 4, 3, 5, 8, 5, 5, 5, 3, 3, 3, 1, 2, 2, 3, 3, 1, 3, 3, 3, 3, 2, 1, 1, 3, 3, 3, 0, 0, 1, 1, 2, 3, 4, 4, 3, 5, 5, 5, 5, 2, 1, 1, 2, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.260869565217392,2.4444683124992346,12,2,[],0.6347537304218881,1.2,3.0,1.6666666666666667,4.833333333333333,4.5,5.0
